n_cut,k_cut,sigma,energy,madelung,time,memory
0,0,1e-10,-1.6208990749290742e-17,-1.5663767270457292,0.024448156356811523,0.0078125
0,1,1e-10,-1.620899074929077e-17,-1.5663767270457318,0.1266772747039795,0.0
0,2,1e-10,-1.588290869179292e-17,-1.5348653668461976,0.36367201805114746,0.0
0,3,1e-10,-1.5882908691792923e-17,-1.534865366846198,0.8337879180908203,0.0
0,4,1e-10,-1.588290868964533e-17,-1.5348653666386625,1.7456448078155518,0.0
1,0,1e-10,-1.8566378731121943e-17,-1.7941859551754489,0.07117891311645508,0.0
1,1,1e-10,-1.8566378731121934e-17,-1.7941859551754484,0.13336682319641113,0.0
1,2,1e-10,-1.8240296673624103e-17,-1.7626745949759157,0.3744227886199951,0.0
1,3,1e-10,-1.82402966736241e-17,-1.7626745949759155,0.885474681854248,0.0
1,4,1e-10,-1.8240296671476506e-17,-1.7626745947683802,1.7699007987976074,0.0
2,0,1e-10,-1.8566380576211456e-17,-1.794186133478054,0.2673606872558594,0.0
2,1,1e-10,-1.8566380576211474e-17,-1.7941861334780556,0.3269336223602295,0.00390625
2,2,1e-10,-1.8240298518713668e-17,-1.7626747732785257,0.5583057403564453,0.0
2,3,1e-10,-1.8240298518713677e-17,-1.7626747732785264,1.1581394672393799,0.0
2,4,1e-10,-1.8240298516566047e-17,-1.7626747730709875,1.98433518409729,0.0
3,0,1e-10,-1.8566380576211456e-17,-1.794186133478054,0.6921217441558838,0.0
3,1,1e-10,-1.8566380576211474e-17,-1.7941861334780556,0.7514796257019043,0.0
3,2,1e-10,-1.8240298518713668e-17,-1.7626747732785257,0.959944486618042,0.0
3,3,1e-10,-1.8240298518713677e-17,-1.7626747732785264,1.5073578357696533,0.0
3,4,1e-10,-1.8240298516566047e-17,-1.7626747730709875,2.431997060775757,0.0
4,0,1e-10,-1.8566380576211456e-17,-1.794186133478054,1.4400877952575684,0.0
4,1,1e-10,-1.8566380576211474e-17,-1.7941861334780556,1.4347517490386963,0.0
4,2,1e-10,-1.8240298518713668e-17,-1.7626747732785257,1.721329689025879,0.0
4,3,1e-10,-1.8240298518713677e-17,-1.7626747732785264,2.2512288093566895,0.0
4,4,1e-10,-1.8240298516566047e-17,-1.7626747730709875,3.086782693862915,0.0
